# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|q0|²	|q1|²	|q2|²	N
#
  0.68513 	0          	0          	0          	0          	1          
  0.68546 	0          	0          	0          	0          	1          
  0.68579 	0          	0          	0          	0          	1          
  0.68612 	0          	0          	0          	0          	1          
  0.68645 	0          	0          	0          	0          	1          
  0.68678 	0          	0          	0          	0          	1          
  0.68711 	0          	0          	0          	0          	1          
  0.68744 	0          	0          	0          	0          	1          
  0.68777 	0          	0          	0          	0          	1          
  0.6881  	0          	0          	0          	0          	1          
  0.68843 	0          	0          	0          	0          	1          
  0.68876 	0          	0          	0          	0          	1          
  0.68909 	0          	0          	0          	0          	1          
  0.68942 	0          	0          	0          	0          	1          
  0.68975 	0          	0          	0          	0          	1          
  0.69008 	0          	0          	0          	0          	1          
  0.69041 	0          	0          	0          	0          	1          
  0.69074 	0          	0          	0          	0          	1          
  0.69107 	0          	0          	0          	0          	1          
  0.6914  	0          	0          	0          	0          	1          
  0.69173 	0          	0          	0          	0          	1          
  0.69206 	0          	0          	0          	0          	1          
  0.69239 	0          	0          	0          	0          	1          
  0.69272 	0          	0          	0          	0          	1          
  0.69305 	0          	0          	0          	0          	1          
  0.69338 	0          	0          	0          	0          	1          
  0.69371 	0          	0          	0          	0          	1          
  0.69404 	0          	0          	0          	0          	1          
  0.69437 	0          	0          	0          	0          	1          
  0.6947  	0          	0          	0          	0          	1          
  0.69503 	0          	0          	0          	0          	1          
  0.69536 	0          	0          	0          	0          	1          
  0.69569 	0          	0          	0          	0          	1          
  0.69602 	0          	0          	0          	0          	1          
  0.69635 	0          	0          	0          	0          	1          
  0.69668 	0          	0          	0          	0          	1          
  0.69701 	0          	0          	0          	0          	1          
  0.69734 	0          	0          	0          	0          	1          
  0.69767 	0          	0          	0          	0          	1          
  0.698   	0          	0          	0          	0          	1          
  0.69833 	0          	0          	0          	0          	1          
  0.69866 	0          	0          	0          	0          	1          
  0.69899 	0          	0          	0          	0          	1          
  0.69932 	0          	0          	0          	0          	1          
