# * COMPONENTS * 
#
# file generated by ** cup.H ** 
#
# a drude model was used for silver
# ------------- 
# ome (eV)	real(eps1)	imag(eps1)	real(eps2)	imag(eps2)
#
  2.6788  	2.07339    	-0.0327262 	-7.54193   	0.109301   
  2.68    	2.07312    	-0.0331777 	-7.53044   	0.109154   
  2.6812  	2.07285    	-0.0336375 	-7.51896   	0.109008   
  2.6824  	2.07258    	-0.034106  	-7.50749   	0.108862   
  2.6836  	2.0723     	-0.0345832 	-7.49604   	0.108716   
  2.6848  	2.07203    	-0.0350693 	-7.4846    	0.10857    
  2.686   	2.07176    	-0.0355645 	-7.47318   	0.108425   
  2.6872  	2.07149    	-0.036069  	-7.46178   	0.108279   
  2.6884  	2.07122    	-0.036583  	-7.45039   	0.108135   
  2.6896  	2.07094    	-0.0371066 	-7.43902   	0.10799    
  2.6908  	2.07067    	-0.0376402 	-7.42766   	0.107845   
  2.692   	2.07041    	-0.0381839 	-7.41631   	0.107701   
  2.6932  	2.07014    	-0.0387378 	-7.40498   	0.107557   
