# * STATIC * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.114758
# a drude model was used for silver
# ------------- 
# ome (eV)	real(alph)	imag(alph)
#
  2.24728 	-37.7897   	-3.41972   
  2.2474  	-37.5444   	-3.36228   
  2.24752 	-37.3022   	-3.30595   
  2.24764 	-37.0631   	-3.25069   
  2.24776 	-36.8271   	-3.19648   
  2.24788 	-36.594    	-3.14329   
  2.248   	-36.3638   	-3.09111   
  2.24812 	-36.1365   	-3.03989   
  2.24824 	-35.912    	-2.98963   
  2.24836 	-35.6902   	-2.94029   
  2.24848 	-35.4712   	-2.89186   
  2.2486  	-35.2548   	-2.84431   
  2.24872 	-35.0411   	-2.79762   
  2.24884 	-34.8299   	-2.75177   
  2.24896 	-34.6212   	-2.70674   
  2.24908 	-34.415    	-2.66252   
  2.2492  	-34.2112   	-2.61907   
  2.24932 	-34.0098   	-2.5764    
  2.24944 	-33.8108   	-2.53447   
  2.24956 	-33.6141   	-2.49327   
  2.24968 	-33.4197   	-2.45278   
  2.2498  	-33.2274   	-2.41299   
  2.24992 	-33.0374   	-2.37389   
  2.25004 	-32.8496   	-2.33545   
  2.25016 	-32.6638   	-2.29766   
  2.25028 	-32.4802   	-2.26051   
  2.2504  	-32.2986   	-2.22398   
  2.25052 	-32.119    	-2.18806   
  2.25064 	-31.9414   	-2.15274   
  2.25076 	-31.7657   	-2.11801   
  2.25088 	-31.592    	-2.08384   
  2.251   	-31.4202   	-2.05023   
  2.25112 	-31.2502   	-2.01717   
  2.25124 	-31.0821   	-1.98465   
  2.25136 	-30.9157   	-1.95265   
  2.25148 	-30.7511   	-1.92116   
  2.2516  	-30.5883   	-1.89017   
  2.25172 	-30.4272   	-1.85968   
  2.25184 	-30.2678   	-1.82967   
  2.25196 	-30.1101   	-1.80013   
  2.25208 	-29.954    	-1.77106   
  2.2522  	-29.7995   	-1.74243   
  2.25232 	-29.6466   	-1.71425   
  2.25244 	-29.4952   	-1.68651   
  2.25256 	-29.3454   	-1.65919   
  2.25268 	-29.1972   	-1.63229   
  2.2528  	-29.0504   	-1.6058    
  2.25292 	-28.9051   	-1.57972   
  2.25304 	-28.7612   	-1.55402   
  2.25316 	-28.6188   	-1.52871   
  2.25328 	-28.4778   	-1.50379   
  2.2534  	-28.3382   	-1.47923   
  2.25352 	-28.1999   	-1.45504   
  2.25364 	-28.063    	-1.4312    
  2.25376 	-27.9274   	-1.40771   
  2.25388 	-27.7932   	-1.38457   
  2.254   	-27.6602   	-1.36177   
  2.25412 	-27.5285   	-1.3393    
  2.25424 	-27.3981   	-1.31715   
  2.25436 	-27.2689   	-1.29532   
  2.25448 	-27.1409   	-1.27381   
  2.2546  	-27.0141   	-1.2526    
  2.25472 	-26.8885   	-1.2317    
  2.25484 	-26.7641   	-1.21109   
  2.25496 	-26.6409   	-1.19077   
  2.25508 	-26.5187   	-1.17074   
  2.2552  	-26.3978   	-1.15099   
  2.25532 	-26.2779   	-1.13151   
  2.25544 	-26.1591   	-1.11231   
  2.25556 	-26.0413   	-1.09337   
  2.25568 	-25.9247   	-1.07469   
  2.2558  	-25.8091   	-1.05627   
  2.25592 	-25.6945   	-1.0381    
  2.25604 	-25.581    	-1.02018   
  2.25616 	-25.4684   	-1.00251   
  2.25628 	-25.3569   	-0.985072  
  2.2564  	-25.2463   	-0.967871  
  2.25652 	-25.1368   	-0.950902  
  2.25664 	-25.0281   	-0.93416   
  2.25676 	-24.9204   	-0.917641  
  2.25688 	-24.8137   	-0.901343  
  2.257   	-24.7079   	-0.885261  
  2.25712 	-24.6029   	-0.869391  
  2.25724 	-24.4989   	-0.853731  
  2.25736 	-24.3958   	-0.838276  
  2.25748 	-24.2935   	-0.823024  
  2.2576  	-24.1921   	-0.807971  
  2.25772 	-24.0916   	-0.793113  
  2.25784 	-23.9919   	-0.778448  
  2.25796 	-23.893    	-0.763973  
  2.25808 	-23.7949   	-0.749684  
  2.2582  	-23.6977   	-0.735578  
  2.25832 	-23.6013   	-0.721654  
  2.25844 	-23.5056   	-0.707906  
  2.25856 	-23.4108   	-0.694334  
  2.25868 	-23.3167   	-0.680934  
  2.2588  	-23.2233   	-0.667703  
  2.25892 	-23.1308   	-0.654639  
  2.25904 	-23.039    	-0.641739  
  2.25916 	-22.9479   	-0.629001  
  2.25928 	-22.8575   	-0.616422  
  2.2594  	-22.7679   	-0.603999  
  2.25952 	-22.6789   	-0.591731  
  2.25964 	-22.5907   	-0.579615  
  2.25976 	-22.5032   	-0.567649  
  2.25988 	-22.4163   	-0.55583   
  2.26    	-22.3302   	-0.544156  
  2.26012 	-22.2447   	-0.532625  
  2.26024 	-22.1598   	-0.521235  
  2.26036 	-22.0757   	-0.509984  
  2.26048 	-21.9921   	-0.498869  
  2.2606  	-21.9092   	-0.48789   
  2.26072 	-21.827    	-0.477042  
  2.26084 	-21.7453   	-0.466326  
  2.26096 	-21.6643   	-0.455739  
  2.26108 	-21.5839   	-0.445278  
  2.2612  	-21.5041   	-0.434943  
  2.26132 	-21.4249   	-0.424731  
  2.26144 	-21.3463   	-0.414641  
  2.26156 	-21.2683   	-0.40467   
  2.26168 	-21.1909   	-0.394818  
  2.2618  	-21.114    	-0.385082  
  2.26192 	-21.0377   	-0.375461  
  2.26204 	-20.9619   	-0.365953  
  2.26216 	-20.8867   	-0.356556  
  2.26228 	-20.8121   	-0.34727   
  2.2624  	-20.738    	-0.338092  
  2.26252 	-20.6644   	-0.329021  
  2.26264 	-20.5914   	-0.320056  
  2.26276 	-20.5189   	-0.311194  
  2.26288 	-20.4469   	-0.302436  
  2.263   	-20.3754   	-0.293778  
  2.26312 	-20.3044   	-0.285221  
  2.26324 	-20.234    	-0.276761  
  2.26336 	-20.164    	-0.268399  
  2.26348 	-20.0945   	-0.260133  
  2.2636  	-20.0255   	-0.251961  
  2.26372 	-19.957    	-0.243883  
  2.26384 	-19.889    	-0.235896  
  2.26396 	-19.8214   	-0.228001  
  2.26408 	-19.7543   	-0.220195  
  2.2642  	-19.6877   	-0.212477  
  2.26432 	-19.6215   	-0.204847  
  2.26444 	-19.5558   	-0.197302  
  2.26456 	-19.4905   	-0.189843  
  2.26468 	-19.4257   	-0.182467  
  2.2648  	-19.3613   	-0.175175  
  2.26492 	-19.2974   	-0.167963  
  2.26504 	-19.2338   	-0.160833  
  2.26516 	-19.1707   	-0.153782  
  2.26528 	-19.1081   	-0.14681   
  2.2654  	-19.0458   	-0.139915  
  2.26552 	-18.9839   	-0.133097  
  2.26564 	-18.9225   	-0.126354  
  2.26576 	-18.8615   	-0.119686  
  2.26588 	-18.8009   	-0.113092  
  2.266   	-18.7406   	-0.106571  
  2.26612 	-18.6808   	-0.100121  
  2.26624 	-18.6213   	-0.0937426 
  2.26636 	-18.5623   	-0.087434  
  2.26648 	-18.5036   	-0.0811947 
  2.2666  	-18.4453   	-0.0750237 
  2.26672 	-18.3874   	-0.0689202 
  2.26684 	-18.3298   	-0.0628833 
  2.26696 	-18.2726   	-0.0569123 
  2.26708 	-18.2158   	-0.0510064 
  2.2672  	-18.1593   	-0.0451647 
